GTF_tag,Locus_tag,Gene_name,Product
gene-Rv0089,Rv0089,Rv0089,Possible methyltransferase/methylase
gene-Rv0090,Rv0090,Rv0090,Possible membrane protein
gene-Rv0091,Rv0091,mtn,Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)
gene-Rv0092,Rv0092,ctpA,Cation transporter P-type ATPase a CtpA
gene-Rv0093c,Rv0093c,Rv0093c,Probable conserved membrane protein
gene-Rv0094c,Rv0094c,Rv0094c,Conserved hypothetical protein
gene-Rv0095c,Rv0095c,Rv0095c,Conserved hypothetical protein
gene-Rv0096,Rv0096,PPE1,PPE family protein PPE1
gene-Rv0097,Rv0097,Rv0097,Possible oxidoreductase
gene-Rv0098,Rv0098,fcoT,Probable fatty acyl CoA thioesterase type III FcoT
gene-Rv0099,Rv0099,fadD10,Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0100,Rv0100,Rv0100,Conserved hypothetical protein
gene-Rv0101,Rv0101,nrp,Probable peptide synthetase Nrp (peptide synthase)
gene-Rv0102,Rv0102,Rv0102,Probable conserved integral membrane protein
gene-Rv0103c,Rv0103c,ctpB,Probable cation-transporter P-type ATPase B CtpB
gene-Rv0104,Rv0104,Rv0104,Conserved hypothetical protein
gene-Rv0105c,Rv0105c,rpmB1,50S ribosomal protein L28-1 RpmB1
gene-Rv0106,Rv0106,Rv0106,Conserved hypothetical protein
gene-Rv0107c,Rv0107c,ctpI,Probable cation-transporter ATPase I CtpI
gene-Rv0108c,Rv0108c,Rv0108c,Hypothetical protein
gene-Rv0109,Rv0109,PE-PGRS1,PE-PGRS family protein PE_PGRS1
gene-Rv0110,Rv0110,Rv0110,Probable conserved integral membrane protein
gene-Rv0111,Rv0111,Rv0111,Possible transmembrane acyltransferase
gene-Rv0112,Rv0112,gca,"Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)"
gene-Rv0113,Rv0113,gmhA,Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)
gene-Rv0114,Rv0114,gmhB,"Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)"
gene-Rv0115,Rv0115,hddA,Possible D-alpha-D-heptose-7-phosphate kinase HddA
gene-Rv0116c,Rv0116c,ldtA,"Probable L,D-transpeptidase LdtA"
gene-Rv0117,Rv0117,oxyS,Oxidative stress response regulatory protein OxyS
gene-Rv0118c,Rv0118c,oxcA,Probable oxalyl-CoA decarboxylase OxcA
gene-Rv0119,Rv0119,fadD7,Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0120c,Rv0120c,fusA2,Probable elongation factor G FusA2 (EF-G)
gene-Rv0121c,Rv0121c,Rv0121c,Conserved protein
gene-Rv0122,Rv0122,Rv0122,Hypothetical protein
gene-Rv0123,Rv0123,Rv0123,Unknown protein
gene-Rv0124,Rv0124,PE-PGRS2,PE-PGRS family protein PE_PGRS2
gene-Rv0125,Rv0125,pepA,Probable serine protease PepA (serine proteinase) (MTB32A)
gene-Rv0126,Rv0126,treS,Trehalose synthase TreS
gene-Rv0127,Rv0127,mak,Maltokinase Mak
gene-Rv0128,Rv0128,Rv0128,Probable conserved transmembrane protein
gene-Rv0129c,Rv0129c,fbpC,Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C)
gene-Rv0130,Rv0130,htdZ,Probable 3-hydroxyl-thioester dehydratase
gene-Rv0131c,Rv0131c,fadE1,Probable acyl-CoA dehydrogenase FadE1
gene-Rv0132c,Rv0132c,fgd2,Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2
gene-Rv0133,Rv0133,Rv0133,GCN5-related N-acetyltransferase
gene-Rv0134,Rv0134,ephF,Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase)
gene-Rv0135c,Rv0135c,Rv0135c,Possible transcriptional regulatory protein
gene-Rv0136,Rv0136,cyp138,Probable cytochrome P450 138 Cyp138
gene-Rv0137c,Rv0137c,msrA,Probable peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase) (peptide met(O) reductase)
gene-Rv0138,Rv0138,Rv0138,Conserved hypothetical protein
gene-Rv0139,Rv0139,Rv0139,Possible oxidoreductase
gene-Rv0140,Rv0140,Rv0140,Conserved protein
gene-Rv0141c,Rv0141c,Rv0141c,Unknown protein
gene-Rv0142,Rv0142,Rv0142,Conserved hypothetical protein
gene-Rv0143c,Rv0143c,Rv0143c,Probable conserved transmembrane protein
gene-Rv0144,Rv0144,Rv0144,Probable transcriptional regulatory protein (possibly TetR-family)
gene-Rv0145,Rv0145,Rv0145,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0146,Rv0146,Rv0146,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0147,Rv0147,Rv0147,Probable aldehyde dehydrogenase (NAD+) dependent
gene-Rv0148,Rv0148,Rv0148,Probable short-chain type dehydrogenase/reductase
gene-Rv0148,Rv0148,Rv0148,Probable short-chain type dehydrogenase/reductase
gene-Rv0149,Rv0149,Rv0149,Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin)
gene-Rv0150c,Rv0150c,Rv0150c,Conserved hypothetical protein
gene-Rv0151c,Rv0151c,PE1,PE family protein PE1
gene-Rv0152c,Rv0152c,PE2,PE family protein PE2
gene-Rv0153c,Rv0153c,ptbB,Phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase)
gene-Rv0154c,Rv0154c,fadE2,Probable acyl-CoA dehydrogenase FadE2
gene-Rv0155,Rv0155,pntAa,Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part; catalytic part] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)
gene-Rv0156,Rv0156,pntAb,Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part; integral membrane protein] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)
gene-Rv0157,Rv0157,pntB,Probable NAD(P) transhydrogenase (subunit beta) PntB [integral membrane protein] (pyridine nucleotide transhydrogenase subunit beta) (nicotinamide nucleotide transhydrogenase subunit beta)
gene-Rv0157A,Rv0157A,Rv0157A,Conserved protein
gene-Rv0158,Rv0158,Rv0158,Probable transcriptional regulatory protein (possibly TetR-family)
gene-Rv0159c,Rv0159c,PE3,PE family protein PE3
gene-Rv0160c,Rv0160c,PE4,PE family protein PE4
gene-Rv0161,Rv0161,Rv0161,Possible oxidoreductase
gene-Rv0162c,Rv0162c,adhE1,Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1
gene-Rv0163,Rv0163,Rv0163,Conserved protein
gene-Rv0164,Rv0164,TB18.5,Conserved protein TB18.5
gene-Rv0165c,Rv0165c,mce1R,Probable transcriptional regulatory protein Mce1R (probably GntR-family)
gene-Rv0166,Rv0166,fadD5,Probable fatty-acid-CoA ligase FadD5 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0167,Rv0167,yrbE1A,Conserved integral membrane protein YrbE1A
gene-Rv0168,Rv0168,yrbE1B,Conserved integral membrane protein YrbE1B
gene-Rv0169,Rv0169,mce1A,Mce-family protein Mce1A
gene-Rv0170,Rv0170,mce1B,Mce-family protein Mce1B
gene-Rv0171,Rv0171,mce1C,Mce-family protein Mce1C
gene-Rv0172,Rv0172,mce1D,Mce-family protein Mce1D
gene-Rv0173,Rv0173,lprK,Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E)
gene-Rv0174,Rv0174,mce1F,Mce-family protein Mce1F
gene-Rv0175,Rv0175,Rv0175,Probable conserved Mce associated membrane protein
gene-Rv0176,Rv0176,Rv0176,Probable conserved Mce associated transmembrane protein
gene-Rv0177,Rv0177,Rv0177,Probable conserved Mce associated protein
gene-Rv0178,Rv0178,Rv0178,Probable conserved Mce associated membrane protein
gene-Rv0179c,Rv0179c,lprO,Possible lipoprotein LprO
gene-Rv0180c,Rv0180c,Rv0180c,Probable conserved transmembrane protein
gene-Rv0181c,Rv0181c,Rv0181c,Conserved hypothetical protein
gene-Rv0182c,Rv0182c,sigG,Probable alternative RNA polymerase sigma factor SigG (RNA polymerase ECF type sigma factor)
gene-Rv0183,Rv0183,Rv0183,Possible lysophospholipase
gene-Rv0184,Rv0184,Rv0184,Conserved hypothetical protein
gene-Rv0185,Rv0185,Rv0185,Conserved hypothetical protein
gene-Rv0186,Rv0186,bglS,Probable beta-glucosidase BglS (gentiobiase) (cellobiase) (beta-D-glucoside glucohydrolase)
gene-Rv0186A,Rv0186A,Rv0186Ac,"Metallothionein, MymT"
gene-Rv0187,Rv0187,Rv0187,Probable O-methyltransferase
gene-Rv0188,Rv0188,Rv0188,Probable conserved transmembrane protein
gene-Rv0189c,Rv0189c,ilvD,Probable dihydroxy-acid dehydratase IlvD (dad)
gene-Rv0190,Rv0190,Rv0190,Conserved protein
gene-Rv0191,Rv0191,Rv0191,Probable conserved integral membrane protein
gene-Rv0192,Rv0192,Rv0192,Conserved hypothetical protein
gene-Rv0192A,Rv0192A,Rv0192A,Conserved secreted protein
gene-Rv0193c,Rv0193c,Rv0193c,Hypothetical protein
gene-Rv0194,Rv0194,Rv0194,Probable transmembrane multidrug efflux pump
gene-Rv0195,Rv0195,Rv0195,Possible two component transcriptional regulatory protein (probably LuxR-family)
gene-Rv0196,Rv0196,Rv0196,Possible transcriptional regulatory protein
gene-Rv0197,Rv0197,Rv0197,Possible oxidoreductase
gene-Rv0198c,Rv0198c,zmp1,Probable zinc metalloprotease Zmp1
gene-Rv0199,Rv0199,Rv0199,Probable conserved membrane protein
gene-Rv0200,Rv0200,Rv0200,Possible conserved transmembrane protein
gene-Rv0201c,Rv0201c,Rv0201c,Conserved protein
gene-Rv0202c,Rv0202c,mmpL11,Probable conserved transmembrane transport protein MmpL11
gene-Rv0203,Rv0203,Rv0203,Possible exported protein
gene-Rv0204c,Rv0204c,Rv0204c,Probable conserved transmembrane protein
gene-Rv0205,Rv0205,Rv0205,Probable conserved transmembrane protein
gene-Rv0206c,Rv0206c,mmpL3,Possible conserved transmembrane transport protein MmpL3
gene-Rv0207c,Rv0207c,Rv0207c,Conserved hypothetical protein
gene-Rv0208c,Rv0208c,Rv0208c,Hypothetical methlytransferase (methylase)
gene-Rv0209,Rv0209,Rv0209,Hypothetical protein
gene-Rv0210,Rv0210,Rv0210,Hypothetical protein
gene-Rv0211,Rv0211,pckA,Probable iron-regulated phosphoenolpyruvate carboxykinase [GTP] PckA (phosphoenolpyruvate carboxylase) (PEPCK)(pep carboxykinase)
gene-Rv0212c,Rv0212c,nadR,Possible transcriptional regulatory protein NadR (probably AsnC-family)
gene-Rv0213c,Rv0213c,Rv0213c,Possible methyltransferase (methylase)
gene-Rv0214,Rv0214,fadD4,Probable fatty-acid-CoA ligase FadD4 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0215c,Rv0215c,fadE3,Probable acyl-CoA dehydrogenase FadE3
gene-Rv0216,Rv0216,Rv0216,Double hotdog hydratase
gene-Rv0217c,Rv0217c,lipW,Possible esterase LipW
gene-Rv0218,Rv0218,Rv0218,Probable conserved transmembrane protein
gene-Rv0219,Rv0219,Rv0219,Probable conserved transmembrane protein
gene-Rv0220,Rv0220,lipC,Probable esterase LipC
gene-Rv0221,Rv0221,Rv0221,Possible triacylglycerol synthase (diacylglycerol acyltransferase)
gene-Rv0222,Rv0222,echA1,Probable enoyl-CoA hydratase EchA1 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0223c,Rv0223c,Rv0223c,Probable aldehyde dehydrogenase
gene-Rv0224c,Rv0224c,Rv0224c,Possible methyltransferase (methylase)
gene-Rv0225,Rv0225,Rv0225,Possible conserved protein
gene-Rv0226c,Rv0226c,Rv0226c,Probable conserved transmembrane protein
gene-Rv0227c,Rv0227c,Rv0227c,Probable conserved membrane protein
gene-Rv0228,Rv0228,Rv0228,Probable integral membrane acyltransferase
gene-Rv0229c,Rv0229c,Rv0229c,Possible conserved membrane protein with PIN domain
gene-Rv0230c,Rv0230c,php,Probable phosphotriesterase Php (parathion hydrolase) (PTE) (aryldialkylphosphatase) (paraoxonase) (a-esterase) (aryltriphosphatase) (paraoxon hydrolase)
gene-Rv0231,Rv0231,fadE4,Probable acyl-CoA dehydrogenase FadE4
gene-Rv0232,Rv0232,Rv0232,Probable transcriptional regulatory protein (probably TetR/AcrR-family)
gene-Rv0233,Rv0233,nrdB,Ribonucleoside-diphosphate reductase (beta chain) NrdB (ribonucleotide reductase small chain)
gene-Rv0234c,Rv0234c,gabD1,Succinate-semialdehyde dehydrogenase [NADP+] dependent (SSDH) GabD1
gene-Rv0235c,Rv0235c,Rv0235c,Probable conserved transmembrane protein
gene-Rv0236c,Rv0236c,Rv0236A,Possible arabinofuranosyltransferase AftD
gene-Rv0236A,Rv0236A,aftD,Small secreted protein
gene-Rv0237,Rv0237,lpqI,Probable conserved lipoprotein LpqI
gene-Rv0238,Rv0238,Rv0238,Possible transcriptional regulatory protein (probably TetR-family)
gene-Rv0239,Rv0239,vapB24,Possible antitoxin VapB24
gene-Rv0240,Rv0240,vapC24,Possible toxin VapC24. Contains PIN domain.
gene-Rv0241c,Rv0241c,htdX,Probable 3-hydroxyacyl-thioester dehydratase HtdX
gene-Rv0242c,Rv0242c,fabG4,Probable 3-oxoacyl-[acyl-carrier protein] reductase FabG4 (3-ketoacyl-acyl carrier protein reductase)
gene-Rv0243,Rv0243,fadA2,Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (beta-ketothiolase)
gene-Rv0244c,Rv0244c,fadE5,Probable acyl-CoA dehydrogenase FadE5
gene-Rv0245,Rv0245,Rv0245,Possible oxidoreductase
gene-Rv0246,Rv0246,Rv0246,Probable conserved integral membrane protein
gene-Rv0247c,Rv0247c,Rv0247c,Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)
gene-Rv0248c,Rv0248c,Rv0248c,Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)
gene-Rv0249c,Rv0249c,Rv0249c,Probable succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)
gene-Rv0250c,Rv0250c,Rv0250c,Conserved protein
gene-Rv0251c,Rv0251c,hsp,Heat shock protein Hsp (heat-stress-induced ribosome-binding protein A)
gene-Rv0252,Rv0252,nirB,Probable nitrite reductase [NAD(P)H] large subunit [FAD flavoprotein] NirB
gene-Rv0253,Rv0253,nirD,Probable nitrite reductase [NAD(P)H] small subunit NirD
gene-Rv0254c,Rv0254c,cobU,Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase
gene-Rv0255c,Rv0255c,cobQ1,Probable cobyric acid synthase CobQ1
gene-Rv0256c,Rv0256c,PPE2,PPE family protein PPE2
gene-Rv0257,Rv0257,Rv0257,Conserved hypothetical protein
gene-Rv0258c,Rv0258c,Rv0258c,Conserved hypothetical protein
gene-Rv0259c,Rv0259c,Rv0259c,Conserved hypothetical protein
gene-Rv0260c,Rv0260c,Rv0260c,Possible transcriptional regulatory protein
gene-Rv0261c,Rv0261c,narK3,Probable integral membrane nitrite extrusion protein NarK3 (nitrite facilitator)
gene-Rv0262c,Rv0262c,aac,Aminoglycoside 2'-N-acetyltransferase Aac (Aac(2')-IC)
gene-Rv0263c,Rv0263c,Rv0263c,Conserved hypothetical protein
gene-Rv0264c,Rv0264c,Rv0264c,Conserved hypothetical protein
gene-Rv0265c,Rv0265c,Rv0265c,Probable periplasmic iron-transport lipoprotein
gene-Rv0266c,Rv0266c,oplA,Probable 5-oxoprolinase OplA (5-oxo-L-prolinase) (pyroglutamase) (5-OPASE)
gene-Rv0267,Rv0267,narU,Probable integral membrane nitrite extrusion protein NarU (nitrite facilitator)
gene-Rv0268c,Rv0268c,Rv0268c,Hypothetical protein
gene-Rv0269c,Rv0269c,Rv0269c,Conserved hypothetical protein
gene-Rv0270,Rv0270,fadD2,Probable fatty-acid-CoA ligase FadD2 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0271c,Rv0271c,fadE6,Probable acyl-CoA dehydrogenase FadE6
gene-Rv0272c,Rv0272c,Rv0272c,Unknown protein
gene-Rv0273c,Rv0273c,Rv0273c,Possible transcriptional regulatory protein
gene-Rv0274,Rv0274,Rv0274,Conserved protein
gene-Rv0275c,Rv0275c,Rv0275c,Possible transcriptional regulatory protein (possibly TetR-family)
gene-Rv0276,Rv0276,Rv0276,Conserved hypothetical protein
gene-Rv0277c,Rv0277c,Rv0277Ac,Possible toxin VapC25. Contains PIN domain.
gene-Rv0277A,Rv0277A,vapC25,Possible antitoxin VapB25
gene-Rv0278c,Rv0278c,PE-PGRS3,PE-PGRS family protein PE_PGRS3
gene-Rv0279c,Rv0279c,PE-PGRS4,PE-PGRS family protein PE_PGRS4
gene-Rv0280,Rv0280,PPE3,PPE family protein PPE3
gene-Rv0281,Rv0281,Rv0281,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0282,Rv0282,eccA3,ESX conserved component EccA3. ESX-3 type VII secretion system protein.
gene-Rv0283,Rv0283,eccB3,ESX conserved component EccB3. ESX-3 type VII secretion system protein. Possible membrane protein.
gene-Rv0284,Rv0284,eccC3,ESX conserved component EccC3. ESX-3 type VII secretion system protein. Possible membrane protein.
gene-Rv0285,Rv0285,PE5,PE family protein PE5
gene-Rv0286,Rv0286,PPE4,PPE family protein PPE4
gene-Rv0287,Rv0287,esxG,ESAT-6 like protein EsxG (conserved protein TB9.8)
gene-Rv0288,Rv0288,esxH,Low molecular weight protein antigen 7 EsxH (10 kDa antigen) (CFP-7) (protein TB10.4)
gene-Rv0289,Rv0289,espG3,ESX-3 secretion-associated protein EspG3
gene-Rv0290,Rv0290,eccD3,ESX conserved component EccD3. ESX-3 type VII secretion system protein. Probable transmembrane protein.
gene-Rv0291,Rv0291,mycP3,Probable membrane-anchored mycosin MycP3 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-3)
gene-Rv0292,Rv0292,eccE3,ESX conserved component EccE3. ESX-3 type VII secretion system protein. Probable transmembrane protein.
gene-Rv0293c,Rv0293c,Rv0293c,Conserved protein
gene-Rv0294,Rv0294,tam,Probable trans-aconitate methyltransferase Tam
gene-Rv0295c,Rv0295c,Rv0295c,Conserved protein
gene-Rv0296c,Rv0296c,Rv0296c,Probable sulfatase
gene-Rv0297,Rv0297,PE-PGRS5,PE-PGRS family protein PE_PGRS5
gene-Rv0298,Rv0298,Rv0298,Hypothetical protein
gene-Rv0299,Rv0299,Rv0299,Hypothetical protein
gene-Rv0300,Rv0300,Rv0300,Possible antitoxin VapB2
gene-Rv0301,Rv0301,vapC2,Possible toxin VapC2
gene-Rv0302,Rv0302,Rv0302,Probable transcriptional regulatory protein (probably TetR/AcrR-family)
gene-Rv0303,Rv0303,Rv0303,Probable dehydrogenase/reductase
gene-Rv0304c,Rv0304c,PPE5,PPE family protein PPE5
gene-Rv0305c,Rv0305c,PPE6,PPE family protein PPE6
gene-Rv0306,Rv0306,Rv0306,Putative oxidoreductase
gene-Rv0307c,Rv0307c,Rv0307c,Unknown protein
gene-Rv0308,Rv0308,Rv0308,Probable conserved integral membrane protein
gene-Rv0309,Rv0309,Rv0309,Possible conserved exported protein
gene-Rv0310c,Rv0310c,Rv0310c,Conserved protein
gene-Rv0311,Rv0311,Rv0311,Unknown protein
gene-Rv0312,Rv0312,Rv0312,Conserved hypothetical proline and threonine rich protein
gene-Rv0313,Rv0313,Rv0313,Conserved protein
